id,nombre,icono
karinista,Línea Karinista,karinista.jpg
mileista,Línea Mileista,mileista.jpg
caputista,Línea Caputista,caputista.jpg
lilia_lemoine,Lilia Lemoine,lillia.jpg
patricia_bullrich,Patricia Bullrich,bullrich.jpeg
eliana,Eliana,eliana.jpg
cande,Cande,cande.jpg
lu_palavecino,Lu Palavecino,lu_palavecino.jpg
mia_noparejista,Mia (no parejista),mia_noparejista.jpg
johnny_ars,Johnny Ars,johnny_ars.jpg
ivan_cerrajero,Iván Cerrajero,ivan_cerrajero.jpg
natalin,Natalin,natalin.jpg
pablo,Pablo,pablo.png
gordo_dan,Gordo Dan,gordo_dan.jpg
traductor,Traductor,traductor.jpg
sanibu,Sanibu,sanibu.jpg
barbie,Barbie,barbie.jpg
mia,Mia,mia.jpg
oraculo_tl,El Oráculo de TL,oraculo_tl.jpg
marilu,Marilú,marilu.jpg
marra,Marra,marra.jfif
fede_machado,Fede Machado,fede_machado.jpg
palandristas,Palandristas,palandristas.jpg
tipito,Tipito,tipito.webp
lopez_murphy,López Murphy,lopez_murphy.jpg
cachanoski,Cachanoski,cachanoski.jpg
giacomini,Giacomini,giacomini.jpg
marianito,Marianito,marianito.jpg
fijap,Fijap,fijap.jpg
palazzo,Palazzo,palazzo.jpg
nicolas_marquez,Nicolás Márquez,nicolas_marquez.jpg
ozzi_barbie,Ozzi Barbie,ozzi_barbie.png
